person,award,year_of_award,movie,state,country,date_of_birth,race_ethnicity,religion,sexual_orientation,age_win,continent
Lewis Milestone,Best Director,1927,Two Arabian Knights,NA, Moldova,1895,White,Unknown,Straight,32,Europe
Frank Lloyd,Best Director,1930,The Divine Lady,NA, Scotland,1886,White,Unknown,Straight,44,Europe
Lewis Milestone,Best Director,1931,All Quiet on the Western Front,NA, Moldova,1895,White,Unknown,Straight,36,Europe
Norman Taurog,Best Director,1932,Skippy, Il,United States of America,1899,White,Unknown,Straight,33,North America
Frank Borzage,Best Director,1933,Bad Girl, Ut,United States of America,1894,White,Roman Catholic,Straight,39,North America
Frank Lloyd,Best Director,1934,Cavalcade,NA, Scotland,1886,White,Unknown,Straight,48,Europe
Frank Capra,Best Director,1935,It Happened One Night, Sicily, Italy,1897,White,Roman Catholic,Straight,38,Europe
John Ford,Best Director,1936,The Informer, Me,United States of America,1894,White,Roman Catholic,Bisexual,42,North America
Frank Capra,Best Director,1937,Mr. Deeds Goes to Town, Sicily, Italy,1897,White,Roman Catholic,Straight,40,Europe
Leo McCarey,Best Director,1938,The Awful Truth, Ca,United States of America,1898,White,Unknown,Straight,40,North America
Frank Capra,Best Director,1939,You Can't Take It with You, Sicily, Italy,1897,White,Roman Catholic,Straight,42,Europe
Victor Fleming,Best Director,1940,Gone with the Wind, Ca,United States of America,1883,White,Unknown,Straight,57,North America
John Ford,Best Director,1941,The Grapes of Wrath, Me,United States of America,1894,White,Roman Catholic,Bisexual,47,North America
John Ford,Best Director,1942,How Green Was My Valley, Me,United States of America,1894,White,Roman Catholic,Bisexual,48,North America
William Wyler,Best Director,1943,Mrs. Miniver, Haut-Rhin, France,1902,White,Unknown,Straight,41,Europe
Michael Curtiz,Best Director,1944,Casablanca,NA, Hungary,1886,White,Unknown,Straight,58,Europe
Leo McCarey,Best Director,1945,Going My Way, Ca,United States of America,1898,White,Unknown,Straight,47,North America
Jerome Robbins,Best Director,1962,West Side Story,NY,United States of America,1918,White,Jewish,Gay,44,North America
Billy Wilder,Best Director,1946,The Lost Weekend, Galicia, Austria,1906,White,Jewish,Straight,40,Europe
William Wyler,Best Director,1947,The Best Years of Our Lives, Haut-Rhin, France,1902,White,Unknown,Straight,45,Europe
Elia Kazan,Best Director,1948,Gentleman's Agreement,NA, Turkey,1909,White,Unknown,Straight,39,Asia
John Huston,Best Director,1949,The Treasure of the Sierra Madre, Mo,United States of America,1906,White,Unknown,Straight,43,North America
Joseph L. Mankiewicz,Best Director,1950,A Letter to Three Wives, Pa,United States of America,1909,White,Jewish,Straight,41,North America
Joseph L. Mankiewicz,Best Director,1951,All About Eve, Pa,United States of America,1909,White,Jewish,Straight,42,North America
George Stevens,Best Director,1952,A Place in the Sun, Ca,United States of America,1904,White,Unknown,Straight,48,North America
John Ford,Best Director,1953,The Quiet Man, Me,United States of America,1894,White,Roman Catholic,Bisexual,59,North America
Fred Zinnemann,Best Director,1954,From Here to Eternity,NA, Austria,1907,White,Jewish,Straight,47,Europe
Elia Kazan,Best Director,1955,On the Waterfront,NA, Turkey,1909,White,Unknown,Straight,46,Asia
Delbert Mann,Best Director,1956,Marty, Ks,United States of America,1920,White,Any type of Christian,Straight,36,North America
George Stevens,Best Director,1957,Giant, Ca,United States of America,1904,White,Unknown,Straight,53,North America
David Lean,Best Director,1958,The Bridge on the River Kwai, Surrey, England,1908,White,Unknown,Straight,50,Europe
Vincente Minnelli,Best Director,1959,Gigi, Il,United States of America,1903,White,Unknown,Bisexual,56,North America
William Wyler,Best Director,1960,Ben-Hur, Haut-Rhin, France,1902,White,Unknown,Straight,58,Europe
Billy Wilder,Best Director,1961,The Apartment, Galicia, Austria,1906,White,Jewish,Straight,55,Europe
Robert Wise,Best Director,1961,West Side Story, In,United States of America,1914,White,Unknown,Straight,47,North America
David Lean,Best Director,1963,Lawrence of Arabia, Surrey, England,1908,White,Unknown,Straight,55,Europe
Tony Richardson,Best Director,1964,Tom Jones, Yorkshire, England,1928,White,Unknown,Bisexual,36,Europe
George Cukor,Best Director,1965,My Fair Lady,NY,United States of America,1899,White,Unknown,Gay,66,North America
Robert Wise,Best Director,1966,The Sound of Music, In,United States of America,1914,White,Unknown,Straight,52,North America
Fred Zinnemann,Best Director,1967,A Man for All Seasons,NA, Austria,1907,White,Jewish,Straight,60,Europe
Mike Nichols,Best Director,1968,The Graduate,NA, Germany,1931,White,Jewish,Straight,37,Europe
Joel Coen,Best Director,2008,No Country for Old Men, Mn,United States of America,1954,White,Jewish,Straight,54,North America
Carol Reed,Best Director,1969,Oliver!,NA, England,1906,White,Unknown,Straight,63,Europe
John Schlesinger,Best Director,1969,Midnight Cowboy,NA, England,1926,White,Unknown,Gay,43,Europe
Franklin J. Schaffner,Best Director,1970,Patton,NA, Japan,1920,White,Unknown,Straight,50,Asia
William Friedkin,Best Director,1972,The French Connection, Il,United States of America,1935,White,Jewish,Straight,37,North America
Bob Fosse,Best Director,1973,Cabaret, Il,United States of America,1927,White,Unknown,Straight,46,North America
George Roy Hill,Best Director,1973,The Sting, Mn,United States of America,1921,White,Unknown,Straight,52,North America
Francis Ford Coppola,Best Director,1975,The Godfather Part II, Mi,United States of America,1939,White,Unknown,Straight,36,North America
Milos Forman,Best Director,1976,One Flew over the Cuckoo's Nest,NA, Czechoslovakia,1932,White,Unknown,Straight,44,Europe
John G. Avildsen,Best Director,1976,Rocky, Il,United States of America,1935,White,Unknown,Straight,41,North America
Woody Allen,Best Director,1978,Annie Hall, Ny,United States of America,1935,White,Jewish,Straight,43,North America
Michael Cimino,Best Director,1979,The Deer Hunter,NY,United States of America,1939,White,Unknown,Straight,40,North America
Robert Benton,Best Director,1980,Kramer vs. Kramer, Tx,United States of America,1932,White,Unknown,Straight,48,North America
Robert Redford,Best Director,1980,Ordinary People, Ca,United States of America,1936,White,Unknown,Straight,44,North America
Warren Beatty,Best Director,1981,Reds, Va,United States of America,1937,White,Any type of Christian,Straight,44,North America
Richard Attenborough,Best Director,1982,Gandhi,NA, England,1923,White,Unknown,Straight,59,Europe
James L. Brooks,Best Director,1983,Terms of Endearment, Nj,United States of America,1940,White,Unknown,Straight,43,North America
Milos Forman,Best Director,1985,Amadeus,NA, Czechoslovakia,1932,White,Unknown,Straight,53,Europe
Sydney Pollack,Best Director,1986,Out of Africa, In,United States of America,1934,White,Jewish,Straight,52,North America
Oliver Stone,Best Director,1990,Platoon,NY,United States of America,1946,White,Atheist,Straight,44,North America
Bernardo Bertolucci,Best Director,1988,The Last Emperor, Emilia-Romagna, Italy,1941,White,Unknown,Straight,47,Europe
Barry Levinson,Best Director,1989,Rain Man, Md,United States of America,1942,White,Jewish,Straight,47,North America
Oliver Stone,Best Director,1990,Born on the Fourth of July,NY,United States of America,1946,White,Atheist,Straight,44,North America
Kevin Costner,Best Director,1991,Dances with Wolves, Ca,United States of America,1955,White,Any type of Christian,Straight,36,North America
Jonathan Demme,Best Director,1992,The Silence of the Lambs, Ny,United States of America,1944,White,Unknown,Straight,48,North America
Clint Eastwood,Best Director,1993,Unforgiven, Ca,United States of America,1930,White,Unknown,Straight,63,North America
Steven Spielberg,Best Director,1994,Schindler's List, Oh,United States of America,1946,White,Jewish,Straight,48,North America
Robert Zemeckis,Best Director,1995,Forrest Gump, Il,United States of America,1952,White,Roman Catholic,Straight,43,North America
Mel Gibson,Best Director,1996,Braveheart, Ny,United States of America,1956,White,Roman Catholic,Straight,40,North America
Anthony Minghella,Best Director,1997,The English Patient, Isle of Wight, England,1954,White,Unknown,Straight,43,Europe
James Cameron,Best Director,1998,Titanic, Ontario, Canada,1954,White,Atheist,Straight,44,North America
Steven Spielberg,Best Director,1999,Saving Private Ryan, Oh,United States of America,1946,White,Jewish,Straight,53,North America
Sam Mendes,Best Director,2000,American Beauty, Berkshire, England,1965,White,Unknown,Straight,35,Europe
Steven Soderbergh,Best Director,2001,Traffic, Ga,United States of America,1963,White,Atheist,Straight,38,North America
Ron Howard,Best Director,2002,A Beautiful Mind, Ok,United States of America,1954,White,Unknown,Straight,48,North America
Roman Polanski,Best Director,2003,The Pianist,NA, France,1933,White,Unknown,Straight,70,Europe
Peter Jackson,Best Director,2004,The Lord of the Rings: Return of the King,NA, New Zealand,1961,White,Unknown,Straight,43,Oceania
Clint Eastwood,Best Director,2005,Million Dollar Baby, Ca,United States of America,1930,White,Unknown,Straight,75,North America
Ang Lee,Best Director,2006,Brokeback Mountain,NA, Taiwan,1954,Asian,Unknown,Straight,52,Asia
Martin Scorsese,Best Director,2007,The Departed, Ny,United States of America,1942,White,Roman Catholic,Straight,65,North America
Ethan Coen,Best Director,2008,No Country for Old Men, Mn,United States of America,1957,White,Jewish,Straight,51,North America
Danny Boyle,Best Director,2009,Slumdog Millionaire,NA, England,1956,White,Roman Catholic,Straight,53,Europe
Kathryn Bigelow,Best Director,2009,The Hurt Locker, Ca,United States of America,1951,White,Unknown,Straight,58,North America
Tom Hooper,Best Director,2011,The King's Speech,NA, England,1972,White,Unknown,Na,39,Europe
Michel Hazanavicius,Best Director,2012,The Artist,NA, France,1967,White,Jewish,Straight,45,Europe
Ang Lee,Best Director,2013,Life of Pi,NA, Taiwan,1954,Asian,Unknown,Straight,59,Asia
Emil Jannings,Best Actor,1929,The Last Command,NA, Switzerland,1884,White,Unknown,Bisexual,45,Europe
Warner Baxter,Best Actor,1930,In Old Arizona, Oh,United States of America,1889,White,Unknown,Straight,41,North America
George Arliss,Best Actor,1930,Desraeli,NA, England,1868,White,Unknown,Straight,62,Europe
Lionel Barrymore,Best Actor,1931,A Free Soul, Pa,United States of America,1878,White,Roman Catholic,Straight,53,North America
Wallace Beery,Best Actor,1932,The Champ, Mo,United States of America,1885,White,Unknown,Straight,47,North America
Charles Laughton,Best Actor,1934,The Private Life of Henry VIII, Scarborough, England,1899,White,Roman Catholic,Gay,35,Europe
Clark Gable,Best Actor,1935,It Happened One Night, Oh,United States of America,1901,White,Unknown,Straight,34,North America
Victor McLaglen,Best Actor,1936,The Informer, Kent, England,1883,White,Any type of Christian,Straight,53,Europe
Paul Muni,Best Actor,1937,The Story of Louis Pasteur,NA, Ukraine,1895,White,Jewish,Straight,42,Europe
Spencer Tracy,Best Actor,1938,Captains Courageous, Wi,United States of America,1900,White,Roman Catholic,Straight,38,North America
Spencer Tracy,Best Actor,1939,Boys Town, Wi,United States of America,1900,White,Roman Catholic,Straight,39,North America
Robert Donat,Best Actor,1940,Goodbye Mr. Chips, Manchester, England,1905,White,Unknown,Straight,35,Europe
Jimmy Stewart,Best Actor,1941,The Philadelphia Story, Pa,United States of America,1908,White,Any type of Christian,Straight,33,North America
Gary Cooper,Best Actor,1942,Sergeant York, Mt,United States of America,1901,White,Roman Catholic,Straight,41,North America
James Cagney,Best Actor,1943,Yankee Doodle Dandy, Ny,United States of America,1899,White,Roman Catholic,Straight,44,North America
Paul Lukas,Best Actor,1944,Watch on the Rhine,NA, Hungary,1887,White,Unknown,Straight,57,Europe
Bing Crosby,Best Actor,1945,Going My Way, Wa,United States of America,1903,White,Roman Catholic,Straight,42,North America
Ray Milland,Best Actor,1946,The Lost Weekend,NA, Wales,1907,White,Unknown,Straight,39,Europe
Fredric March,Best Actor,1947,The Best Years of Our Lives, Wi,United States of America,1897,White,Unknown,Straight,50,North America
Ronald Colman,Best Actor,1948,A Double Life, Surrey, England,1891,White,Unknown,Straight,57,Europe
Laurence Olivier,Best Actor,1949,Hamlet, Surrey, England,1907,White,Unknown,Bisexual,42,Europe
Broderick Crawford,Best Actor,1950,All The King's Men, Pa,United States of America,1911,White,Unknown,Straight,39,North America
Jose Ferrer,Best Actor,1951,Cyrano de Bergerac,NA, Puerto Rico,1909,Hispanic,Unknown,Straight,42,Latin America
Humphrey Bogart,Best Actor,1952,The Africa Queen,NY,United States of America,1899,White,Unknown,Straight,53,North America
Gary Cooper,Best Actor,1953,High Noon, Mt,United States of America,1901,White,Roman Catholic,Straight,52,North America
William Holden,Best Actor,1954,Stalag 17, Il,United States of America,1918,White,Unknown,Straight,36,North America
Marlon Brando,Best Actor,1955,On the Waterfront, Ne,United States of America,1924,White,Deist,Bisexual,31,North America
Ernest Borgnine,Best Actor,1956,Marty, Ct,United States of America,1917,White,Unknown,Straight,39,North America
Yul Brynner,Best Actor,1957,The King and I,NA, Russia,1920,White,Unknown,Straight,37,Europe
Alec Guinness,Best Actor,1958,The Bridge on the River Kwai,NA, England,1914,White,Roman Catholic,Bisexual,44,Europe
David Niven,Best Actor,1959,Separate Tables,NA, England,1909,White,Unknown,Straight,50,Europe
Charlton Heston,Best Actor,1960,Ben-hur, Il,United States of America,1923,White,Any type of Christian,Straight,37,North America
Burt Lancaster,Best Actor,1961,Elmer Gantry,NY,United States of America,1913,White,Any type of Christian,Straight,48,North America
Maximilian Schell,Best Actor,1962,Judgement at Nuremberg,NA, Austria,1930,White,Unknown,Straight,32,Europe
Gregory Peck,Best Actor,1963,To Kill a Mockingbird, Ca,United States of America,1916,White,Roman Catholic,Straight,47,North America
Sidney Poitier,Best Actor,1964,Lilies of the Field, Fl,United States of America,1927,Black,Deist,Straight,37,North America
Rex Harrison,Best Actor,1965,My Fair Lady, Lancashire, England,1908,White,Unknown,Straight,57,Europe
Lee Marvin,Best Actor,1966,Cat Ballou,NY,United States of America,1924,White,Unknown,Straight,42,North America
Paul Scofield,Best Actor,1967,A Man For All Seasons, West Sussex, England,1922,White,Unknown,Straight,45,Europe
Rod Steiger,Best Actor,1968,In the Heat of the Night, Ny,United States of America,1925,White,Any type of Christian,Straight,43,North America
Cliff Robertson,Best Actor,1969,Charly, Ca,United States of America,1923,White,Unknown,Straight,46,North America
